City,pop_in_city_per
Amsterdam,14.2
Berlin,4.2
Bogota,16.3
Brussels,10.5
Buenos Aires,7.2
Dubai,24.9
Edinburgh,9.2
Hong Kong,100
Istanbul,18.5
Johannesburg,22.4
London,13.1
Los Angeles,3.3
Madrid,6.8
Melbourne,18.9
Montreal,5.6
Moscow,8.4
Mumbai,1
New York,2.6
Paris,18.8
Rio de Janeiro,3.2
Rome,7.1
San Francisco,0.3
San Paulo,5.7
Seoul,19.7
Shanghai,1.8
Shenzhen,0.8
Singapore,100
Stockholm,22.4
Sydney,20.6
Taipei,11.5
Tokyo,10.3
Toronto,7.8
Vienna,20.6
Warsaw,4.5
