City,markets
Amsterdam,95
Austin,15
Bogota,39
Buenos Aires,104
Edinburgh,11
Hong Kong,101
Istanbul,601
Johannesburg,37
London,122
Los Angeles,263
Madrid,50
Melbourne,117
Montreal,21
Moscow,128
New York,144
Paris,550
Rio de Janeiro,14
San Paulo,43
Seoul,366
Shanghai,262
Shenzhen,265
Sydney,118
Taipei,4
Toronto,65
