City,concer_hall
Amsterdam,5
Austin,2
Berlin,2
Bogota,3
Brussels,4
Buenos Aires,2
Dubai,N/A
Edinburgh,1
Hong Kong,4
Johannesburg,4
London,10
Los Angeles,6
Madrid,4
Melbourne,5
Montreal,7
Moscow,4
Mumbai,2
New York,16
Paris,15
Rio de janeiro,2
San Francisco,4
San Paulo,4
Seoul,4
Shanghai,4
Shenzhen,8
Singapore,4
Stockholm,5
Sydney,4
Taipei,4
Tokyo,15
Toronto,6
Vienna,7
Warsaw,4
