City,bookshop
Amsterdam,136
Austin,75
Berlin,245
Bogota,269
Buenos Aires,734
Edinburgh,52
Hong Kong,"1,540"
Istanbul,134
Johannesburg,"1,020"
London,360
Los Angeles,474
Madrid,497
Melbourne,343
Montreal,112
Moscow,542
Mumbai,525
New York,839
Paris,"1,134"
Rio de Janeiro,296
San Francisco,93
San Paulo,390
Seoul,875
Shanghai,"3,800"
Shenzhen,707
Singapore,164
Stockholm,70
Sydney,457
Taipei,476
Tokyo,"1,675"
Toronto,364
