City,club_disco
Amsterdam,35
Austin,54
Berlin,152
Brussels,34
Buenos Aires,140
Edinburgh,28
Hong Kong,110
Istanbul,106
Johannesburg,130
London,339
Los Angeles,731
Madrid,212
Melbourne,91
Montreal,68
Moscow,371
Mumbai,29
New York,498
Paris,171
Rio de Janeiro,240
San Francisco,136
San Paulo,184
Seoul,191
Shanghai,"1,330"
Shenzhen,861
Singapore,57
Sydney,155
Tokyo,73
Toronto,250
