City,fes_cel
Amsterdam,350
Austin,156
Berlin,63
Bogota,319
Brussels,247
Buenos Aires,95
Dubai,35
Edinburgh,69
Hong Kong,55
Istanbul,150
Johannesburg,82
London,271
Los Angeles,257
Madrid,69
Melbourne,256
Montreal,144
Moscow,537
Mumbai,34
New York,263
Paris,360
Rio de Janeiro,368
San Francisco,168
Seoul,350
Shanghai,21
Stockholm,50
Taipei,30
Tokyo,485
Toronto,124
Vienna,50
Warsaw,54
