City,music_performance
Amsterdam,"3,900"
Edinburgh,"16,796"
Hong Kong,"1,362"
Istanbul,"2,500"
Johannesburg,"7,400"
London,"19,710"
Los Angeles,"3,036"
Madrid,"4,082"
Montreal,"3,395"
Moscow,"9,766"
Mumbai,593
New York,"36,192"
Paris,"34,840"
Rio de janeiro,"2,435"
San Francisco,"3,692"
Seoul,"7,907"
Shanghai,"3,356"
Shenzhen,"2,150"
Singapore,"3,565"
Stockholm,"8,533"
Sydney,"20,598"
Taipei,"1,260"
Tokyo,"15,617"
Toronto,"14,560"
Vienna,"2,350"
Warsaw,"1,743"
