City,michelin_rest
Amsterdam,22
Berlin,14
Edinburgh,4
Hong Kong,61
London,62
Los Angeles,20
Madrid,12
New York,76
Paris,105
San Francisco,21
Shanghai,26
Singapore,0
Stockholm,9
Tokyo,224
Vienna,94
Warsaw,1
