City,other_heritage_hist_sites
Amsterdam,14
Austin,189
Berlin,"8,689"
Bogota,"5,397"
Brussels,"4,231"
Buenos Aires,507
Dubai,7
Edinburgh,"16,340"
Hong Kong,"1,111"
Istanbul,"38,292"
Johannesburg,281
London,"20,511"
Los Angeles,577
Madrid,253
Melbourne,"1,448"
Montreal,275
Moscow,"7,962"
Mumbai,42
New York,"1,474"
Paris,"3,951"
Rio de Janeiro,103
San Francisco,223
San Paulo,47
Seoul,346
Shanghai,"2,049"
Shenzhen,39
Singapore,67
Stockholm,189
Sydney,879
Taipei,367
Tokyo,419
Toronto,64
Warsaw,37
