City,dance_performance
Amsterdam,104
Berlin,111
Bogota,
Buenos Aires,
Brussels,645
Hong Kong,493
Istanbul,154
Johannesburg,250
London,"2,578"
Los Angeles,"1,630"
Madrid,351
Montreal,669
Moscow,
Mumbai,130
New York,"6,292"
Paris,"3,172"
Rio de Janeiro,"3,657"
San Paulo,"5,200"
Seoul,"1,528"
Shanghai,"1,686"
Singapore,"1,035"
Stockholm,749
Sydney,283
Tokyo,"1,598"
Toronto,364
