City,bar
Amsterdam,"1,516"
Austin,199
Berlin,"1,247"
Brussels,"1,743"
Buenos Aires,"3,642"
Edinburgh,451
Hong Kong,"1,200"
Istanbul,304
London,"2,694"
Los Angeles,"3,248"
Madrid,"5,877"
Melbourne,713
Montreal,"1,287"
Moscow,581
Mumbai,543
New York,"2,657"
Paris,"3,263"
Rio de Janeiro,"12,072"
San Francisco,377
San Paulo,"15,000"
Seoul,"18,829"
Shanghai,"2,693"
Shenzhen,"1,434"
Singapore,659
Stockholm,414
Sydney,791
Taipei,234
Tokyo,"14,184"
Toronto,957
