City,cinema
Amsterdam,38
Austin,56
Berlin,94
Bogota,46
Brussels,11
Buenos Aires,76
Edinburgh,9
Hong Kong,47
Istanbul,99
Johannesburg,47
London,158
Los Angeles,133
Madrid,43
Melbourne,54
Montreal,20
Moscow,112
Mumbai,105
New York,95
Paris,310
Rio de Janeiro,42
San Francisco,25
San Paulo,46
Seoul,88
Shanghai,230
Shenzhen,112
Singapore,30
Stockholm,21
Sydney,57
Taipei,36
Tokyo,82
Toronto,46
Vienna,27
Warsaw,27
