City,theatres
Amsterdam,57
Austin ,19
Berlin,56
Bogota,74
Brussels,61
Buenos Aires,287
Hong Kong,42
Istanbul,184
Johannesburg,24
London,241
Los Angeles,330
Madrid,112
Montreal,36
Moscow,182
Mumbai,120
New York,420
Paris,353
Rio de Janeiro,158
San Paulo,116
Seoul,251
Shanghai,97
Singapore,14
Stockholm,80
Sydney,73
Tokyo,230
Toronto,75
