City,att_carnival
Amsterdam,88%
Berlin,40%
Bogota,46%
Buenos Aires,21%
Edinburgh,32%
Johannesburg,1%
London,18%
Los Angeles,12%
Madrid,38%
Melbourne,28%
Montreal,106%
Moscow,1%
Mumbai,16%
New York,42%
Paris,8%
Rio de Janeiro,190%
San Francisco,93%
San Paulo,36%
Seoul,11%
Shanghai,20%
Shenzhen,100%
Stockholm,25%
Taipei,8%
Tokyo,10%
Toronto,55%
Vienna,186%
Warsaw,7%
