City,visit_artexh
Amsterdam,"5,864"
Berlin,"1,653"
Edinburgh,926
Hong Kong,"3,061"
Istanbul,"2,179"
London,"5,064"
Los Angeles,"2,987"
Madrid,"2,999"
Melbourne,"4,153"
Montreal,"1,794"
Moscow,"17,645"
New York,"5,918"
Paris,"6,124"
Rio de Janeiro,"5,283"
San Francisco,"2,098"
San Paulo,"3,182"
Shenzhen,160
Taipei,"2,932"
Tokyo,"6,258"
Toronto,"8,969"
Vienna,"20,785"
Warsaw,"3,344"
