City,art_galleries
Amsterdam,196
Austin,50
Berlin,421
Brussels,313
Buenos Aires,331
Dubai,62
Edinburgh,80
Hong Kong,95
Istanbul,199
Johannesburg,76
London,857
Los Angeles,434
Madrid,299
Melbourne,162
Montrթal,55
Moscow,65
Mumbai,152
New York,613
Paris,"1,151"
Rio de Janeiro,108
Rome,200
San Francisco,164
San Paulo,58
Seoul,416
Shanghai,360
Singapore,258
Stockholm,120
Sydney,207
Taipei,138
Tokyo,688
Toronto,156
Vienna,> 100
Warsaw,44
