,City,area_size,green,pop_in_city_per,art_galleries,visit_artexh,income_percap,bookshop,cinema,edu_level,att_carnival,fes_cel,film_fes,foreign_born,gdp,concer_hall,national_museum,club_disco,cin_admission,cinAd_perc,inter_tourists,theatrical_performance,bar,dance_performance,inter_student,markets,michelin_rest,music_performance,other_heritage_hist_sites,restaurants,theaters,population,cinema_tick,cinema_tic_percap,world_heritage,latitude,longitude
1139,Shanghai,"6,340",0.03,1.8,360,,"$13,516","3,800",230,42.90%,20%,21,2,0.00,"$667,449",4,95,"1,330","46,280,000",1.9,7913000,"49,750",2693,"1,686",43016,262,26,3356,2049,,97,24256800,"$562,739,462",$23.20,0,31.2304,121.4737
1156,Shenzhen,"1,997",0.45,0.8,,160,"$7,044.28",707,112,41.10%,100%,,2,,"$453,335",8,3,861,"29,420,000",2.7,1661200,"3,000",1434,,8500,265,,2150,39,84257,,10778900,"$193,095,000",$17.90,0,22.5431,114.0579
1173,Singapore,718,0.47,100,258,,"$76,846",164,30,27.30%,,,19,0.29,"$425,155",4,6,57,"24,578,200",4.5,15567900,"3,930",659,"1,035",80000,,0,3565,67,2426,14,5469724,"$228,418,086",$41.76,1,1.3521,103.8198
1174,Stockholm,"6,526",0.40,22.4,120,,"$34,534",70,21,47.00%,25%,50,20,0.30,"$63,641",5,29,,"5,295,000",2.5,2000000,"3,000",414,749,7672,,9,8533,189,2000,80,2163042,"$61,819,926",$28.00,3,59.3293,18.0686
1176,Sydney,"12,145",0.46,20.6,207,,"$41,255",457,57,34.90%,,,100,0.40,"$232,012",4,1,155,"21,437,565",4.4,3100000,"17,080",791,283,62922,118,,20598,879,19384,73,4840600,"$190,987,251",$39.45,3,-33.8688,151.2093
1209,Taipei,272,0.04,11.5,138,"2,932",,476,36,,8%,30,5,,,4,7,,"16,276,698",6.1,7038496,939,234,,4594,4,,1260,367,7061,,2702315,"$237,670,702",$87.95,0,25.033,121.5654
1211,Tokyo,"2,130",0.03,10.3,688,"6,258","$55,766","1,675",82,25.50%,10%,485,35,0.02,"$743,826",15,8,73,"29,255,665",2.2,5940000,"24,575",14184,"1,598",43188,,224,15617,419,150510,230,13159388,"$351,024,091",$27.00,1,35.6895,139.6917
1213,Toronto,630,0.13,7.8,156,"8,969","$32,566",364,46,69.00%,55%,124,65,0.49,"$125,670",6,0,250,"12,602,231",4.8,1518215,"9,616",957,364,76219,65,,14560,64,7961,75,2615060,"$87,700,708",$33.54,0,43.6532,-79.3832
1246,Vienna,415,0.46,20.6,> 100,"20,785","$30,562",,27,23.00%,186%,50,35,0.32,"$92,358",7,14,,"5,000,000",2.8,4564276,"6,600",,,170842,,94,2350,,,,1766746,"$46,390,563",$26.25,2,48.2082,16.3738
1248,Warsaw,517,0.17,4.5,44,"3,344","$34,236",,27,25.30%,7%,54,20,,,4,14,,"6,552,606",3.8,2700000,"8,150",,,6500,,1,1743,37,,,1735400,,,1,52.2297,21.0122
